-0.105,,-0.07,,0,,0.07,,0.105,,,-0.07@6°,,0@6 °,,0.07@6°,
0,0.279494419146712,0,0.183917050137569,0,-0.019540796097608,0,-0.205817543943963,0,-0.286676839158487,,1.00997471419629,-1.01225908476922,1.00999910666542,-1.016970315949,1.00502327044607,-0.998560285722217
10,1.53814804580024,10,1.43763261284858,10,1.25381888959642,10,1.05772608763562,10,0.959661664524035,,1.01048451680103,-0.710723816426713,1.00246671219928,-0.362142127631536,1.00091508831666,-0.523380552754056
,,,,,,,,,,,1.00780378444407,-0.592959509768393,0.980952554430052,-0.206836227061576,0.998128186385633,-0.384812679848627
,,,,,,,,,,,1.00039579157047,-0.36215860046783,0.959877461105099,-0.136332487727737,0.979602505620993,-0.236603532666526
,,,,,,,,,,,0.987262886192976,-0.225631733271836,0.940970858285457,-0.084657200276745,0.934201541493565,-0.098738862107572
,,,,,,,,,,,0.976639965888558,-0.17389055447567,0.899186558672441,-0.014318189305835,0.859740740398049,0.013893797940357
,,,,,,,,,,,0.961826419388275,-0.112759858992522,0.849069791605949,0.065377392679471,0.756142379969837,0.12109514512801
,,,,,,,,,,,0.928252624883106,-0.028221263137088,0.799026201946836,0.130939281125424,0.641290931465529,0.238011787891966
,,,,,,,,,,,0.882204521666848,0.065640958060158,0.748958219818596,0.201212400751161,0.503836153853271,0.399109893871961
,,,,,,,,,,,0.786137221260603,0.220353836523572,0.703105256355347,0.25738477251013,0.400140640469295,0.531062113123051
,,,,,,,,,,,0.667216616530111,0.389019207327117,0.648895432969495,0.327624946463282,0.336932927449874,0.633979477594677
,,,,,,,,,,,0.527391665758549,0.595209699206009,0.603042469506246,0.383797318222251,0.284939441324241,0.737081895315376
,,,,,,,,,,,0.437537127238722,0.749971996178301,0.557140721104744,0.449392152340789,0.226023113150809,0.889575025213505
,,,,,,,,,,,0.389442495862784,0.83910651335947,0.502906505249766,0.524343557473725,0.146590856518963,1.12588802427899
,,,,,,,,,,,0.314108794213726,0.989272889006028,0.452838523121526,0.594616677099463,0.078081367913617,1.43663869278385
,,,,,,,,,,,0.217626821832337,1.22407669752578,0.406839204843521,0.679056435937139,0.041282604069321,1.66870471978312
,,,,,,,,,,,0.188121691177402,1.32278193259315,0.356673652838776,0.768174480282014,0.015562052980745,1.93560702092027
,,,,,,,,,,,0.158470205707711,1.44975455473923,0.304364002797848,0.87140974532995,0.00852262738603,2.01469877957382
,,,,,,,,,,,0.135031482124438,1.57677659539419,0.260264857864766,0.988844595262411,-0.004273804787328,1.84617078564357
,,,,,,,,,,,0.105160464432612,1.74615029815834,0.209879773637886,1.12036372022535,-0.007438215346466,1.50948490428121
,,,,,,,,,,,0.081550993565457,1.90615095707179,0.159299549657999,1.28957269462656,-0.003738075631263,1.13825883397948
,,,,,,,,,,,0.064251854461224,2.04735610977498,0.110473144208277,1.52004414720126,-0.002475087206344,0.816497497154806
,,,,,,,,,,,0.048974851047546,2.19800019767403,0.060988142092152,1.87771884163015,-0.008057218464613,0.524326174856815
,,,,,,,,,,,0.035768768262673,2.34866075840938,0.054531455514472,1.92478173491912,-0.008590171821942,0.088673815890522
,,,,,,,,,,,0.024657998575733,2.49462656080124,0.050121297096473,1.97657233222416,-0.011715721198775,-0.257912414297214
,,,,,,,,,,,0.019177010763098,2.35324020689882,0.043640218049667,2.02834645669291,-0.014821839984456,-0.609448818897638
,,,,,,,,,,,0.01396434011085,2.16003031001878,0.039181274693415,2.08955951635753,-0.011762909777289,-0.817319133580688
,,,,,,,,,,,0.00894680921161,1.92913056370046,0.032651410708357,2.15075610318585,-0.006791454240958,-0.94099947259824
,,,,,,,,,,,0.007827194878722,1.74537607485257,0.030360957857416,2.19314071096761,-0.004296011177216,-1.00531472931336
,,,,,,,,,,,0.010971384149077,1.53809837577834,0.028021720068223,2.24494778110895,0.008753018681125,-0.901139002748041
,,,,,,,,,,,0.012632511296564,0.817263532435014,0.018228143714092,2.13650709979244,0.023714573868631,-0.712773300517224
,,,,,,,,,,,0.015996232789054,0.567584752742726,0.016376755307421,2.09408954633809,0.049676619447246,-0.469770626497775
,,,,,,,,,,,0.017289033652737,0.317889500214146,0.014671721715507,2.02340460580503,0.071444433135635,-0.301094589968264
,,,,,,,,,,,0.016632876233245,0.04462161895035,0.015183963567155,1.92446875102955,0.095649398114308,-0.181883286915811
,,,,,,,,,,,0.014149722876208,-0.275775046947584,0.01070306698869,1.58992191875597,0.137738834349584,-0.04752537542678
,,,,,,,,,,,0.017732976590833,-0.567854907257932,0.012830090296486,0.37910255987876,0.184527697845055,0.032454638822321
,,,,,,,,,,,0.021194267959827,-0.836378611669358,0.012908146197689,-0.435973379896551,0.273950054128075,0.108187681005209
,,,,,,,,,,,0.021828472157105,-0.958870622343755,0.014078984715742,-0.662112476526209,0.356799319004044,0.144208295937156
,,,,,,,,,,,0.02409453253892,-0.996543998945739,0.017271958924349,-0.878812637960005,0.41288988406414,0.14018338776983
,,,,,,,,,,,0.024192102415425,-1.01538892366488,0.019806336466551,-0.968309557539617,0.53183841150291,0.122344254559249
,,,,,,,,,,,0.035861459645352,-0.869241920073799,0.019928298812182,-0.99186571343854,0.630659622306319,0.089321502262275
,,,,,,,,,,,0.047579601813533,-0.73251737884229,0.024167709946299,-1.01067769248509,0.74976359447431,0.031880973750196
,,,,,,,,,,,0.079592278294631,-0.515537179191514,0.02601909835297,-0.968260139030738,0.83518602477863,-0.016214365683726
,,,,,,,,,,,0.138502530481083,-0.293631601489145,0.033936893831303,-0.897525779988799,0.900442277265283,-0.069592975378666
