cR0,,,cr1,,cr2,CFDTSR3114,,CFDTSR2025,,CFDTSR3025,
-18.0376532399299,-0.534782608695652,-17.9623467600701,-0.438735177865613,-15.0630472854641,-0.246640316205533,-0.583263140554433,0.0468462980173,-3.2735844869271,-0.075513177339258,-0.533986412745492,0.214325624141658
-16.9833625218914,-0.502766798418972,-17.2469352014011,-0.424505928853755,-13.9711033274956,-0.246640316205533,0.017017216138847,0.108468823527583,-2.53242769042783,0.02104405675107,-0.018361331154083,0.276815506806682
-16.0043782837128,-0.456521739130435,-16.2679509632224,-0.403162055335968,-12.992119089317,-0.26798418972332,0.793530660516637,0.170060267364554,-1.79095105559704,0.077941337733613,0.497263750437327,0.339305389471705
-15.0253940455342,-0.45296442687747,-15.2513134851138,-0.371146245059288,-12.0131348511384,-0.282213438735178,1.42916642060342,0.237849396860129,-1.27528028281542,0.13476551281181,0.980630851736002,0.401784828436108
-14.0087565674256,-0.456521739130435,-14.1970227670753,-0.371146245059288,-10.9964973730298,-0.335573122529644,2.02955556315329,0.305644742690367,-0.018544095914948,0.299478337153987,1.33492034067351,0.469888200184854
-13.0297723292469,-0.488537549407115,-13.2556917688266,-0.374703557312253,-10.0175131348511,-0.655731225296443,2.55934268477278,0.367279700869976,,,1.75372579019649,0.538012459334841
-12.0131348511384,-0.577470355731226,-12.3143607705779,-0.417391304347826,-9.00087565674256,-0.563241106719367,3.05399197471195,0.435093695704202,,,2.4628073711639,0.611896419377242
-11.0341506129597,-1.00790513833992,-11.2600700525394,-0.502766798418972,-8.02189141856393,-0.424505928853755,3.54864126465112,0.502907690538427,,,2.8816585118771,0.674354970940403
-10.0175131348511,-0.975889328063241,-10.2810858143608,-0.943873517786561,-6.9676007005254,-0.342687747035573,3.90219529858609,0.564573730391349,,,3.46184524524419,0.731200033419842
-9.00087565674256,-0.95098814229249,-9.26444833625219,-0.918972332015811,-6.06392294220666,-0.225296442687747,4.53772227281628,0.62619003956697,,,3.97751601802582,0.788024208498039
-8.02189141856393,-0.922529644268775,-8.24781085814361,-0.822924901185771,-5.04728546409807,-0.136363636363636,5.03226277689886,0.687831214081241,,,4.33230811005571,0.793804796791695
-7.00525394045534,-0.801581027667984,-7.26882661996497,-0.687747035573122,-4.03064798598949,-0.01897233201581,5.56215868437494,0.755638992580805,,,4.88019117193986,0.85630512315734
-6.02626970227671,-0.666403162055336,-6.25218914185639,-0.527667984189723,-3.01401050788091,0.077075098814229,6.16243904106821,0.817261518091088,,,5.75065403675137,0.918909886529193
-5.04728546409807,-0.509881422924901,-5.27320490367776,-0.417391304347826,-2.03502626970227,0.169565217391304,6.76271939776149,0.878884043601371,,,6.363053059221,0.981431100296079
-4.03064798598949,-0.420948616600791,-4.29422066549913,-0.292885375494071,-1.05604203152364,0.272727272727273,7.29239773352438,0.934346181461025,,,,
-3.05166374781086,-0.324901185770751,-3.27758318739054,-0.211067193675889,-0.039404553415061,0.361660079051384,8.03355577450868,0.989771021312703,,,,
-2.03502626970227,-0.225296442687747,-2.29859894921191,-0.104347826086957,0.939579684763572,0.468379446640316,8.49274087519776,1.04524559184168,,,,
-1.05604203152364,-0.118577075098814,-1.28196147110333,-0.01897233201581,1.99387040280211,0.557312252964427,9.05755704264095,1.09452869304672,,,,
-0.039404553415061,-0.001185770750988,-0.265323992994745,0.091304347826087,2.93520140105079,0.699604743083004,,,,,,
0.977232924693521,0.116205533596838,0.713660245183888,0.187351778656126,3.98949211908932,0.809881422924901,,,,,,
1.95621716287215,0.219367588932806,1.73029772329247,0.286956521739131,4.96847635726795,0.902371541501976,,,,,,
2.97285464098074,0.322529644268775,2.74693520140105,0.397233201581028,5.98511383537653,0.966403162055336,,,,,,
3.95183887915937,0.41501976284585,3.72591943957968,0.493280632411067,6.96409807355516,1.04110671936759,,,,,,
4.96847635726795,0.507509881422925,4.74255691768827,0.624901185770751,7.98073555166375,1.10158102766798,,,,,,
5.94746059544659,0.667588932806324,5.68388791593695,0.738735177865613,8.92206654991243,1.15494071146245,,,,,,
7.00175131348512,0.795652173913044,6.70052539404554,0.877470355731225,9.93870402802102,1.20118577075099,,,,,,
7.98073555166375,0.920158102766798,7.71716287215412,0.930830039525692,10.9553415061296,1.24387351778656,,,,,,
9.07267950963222,0.94505928853755,8.7338003502627,0.980632411067194,11.9719789842382,1.26877470355731,,,,,,
10.0516637478109,0.9699604743083,9.71278458844133,1.03754940711462,12.9886164623468,1.2901185770751,,,,,,
11.0306479859895,1.00197628458498,10.69176882662,1.07312252964427,13.9676007005254,1.30790513833992,,,,,,
11.0683012259194,0.998418972332016,11.7837127845884,1.12648221343874,14.946584938704,1.31501976284585,,,,,,
12.084938704028,0.571541501976285,12.9509632224168,0.75296442687747,15.9632224168126,1.31501976284585,,,,,,
13.0639229422067,0.486166007905138,13.9676007005254,0.635573122529644,16.9045534150613,1.32213438735178,,,,,,
14.0429071803853,0.454150197628459,14.984238178634,0.564426877470356,17.9964973730298,1.31857707509881,,,,,,
15.0595446584939,0.450592885375494,15.9632224168126,0.539525691699605,18.9378283712785,1.29723320158103,,,,,,
16.0385288966725,0.457707509881423,16.9045534150613,0.56798418972332,19.992119089317,1.2901185770751,,,,,,
17.092819614711,0.50395256916996,17.9588441330998,0.603557312252964,20.9711033274956,0.720948616600791,,,,,,
17.092819614711,0.50395256916996,18.9754816112084,0.614229249011858,21.9500875656743,0.720948616600791,,,,,,
18.0341506129597,0.528853754940712,19.954465849387,0.614229249011858,22.9290718038529,0.774308300395257,,,,,,
