MEAS_X,MEAS_Y
-0.00564316903733,1.64347018721635
1.03419513246526,1.78094646676424
1.96982773563321,1.9142473438369
2.9682827975287,2.0371517671831
3.98730889869276,2.17254441508643
4.98571572837426,2.29752975701515
5.94254638959269,2.41626691707224
7.06611581458934,2.54126853737318
8.10643643823187,2.65793563109591
9.06336356387829,2.77251095398797
10.0829684516103,2.88293257890112
11.1029109648402,2.97878777373665
12.1021377421596,3.06839749976261
13.101605680549,3.14760263287598
14.1435661994673,3.19351849479318
15.0882905749732,2.03456621906167
16.1123810586067,1.95146241580087
