EXPPOLAR20_X,EXPPOLAR20_Y,EXPPOLAR15_X,EXPPOLAR15_Y,EXPPOLAR10_X,EXPPOLAR10_Y,EXPPOLAR7_X,EXPPOLAR7_Y,EXPPOLAR5_X,EXPPOLAR5_Y
0.008193492698739,-0.014698320778436,0.014181380417336,1.05865539691255,0.006434559237351,0.070882535729186,0.008021707356683,0.130222209590475,0.009200750937754,0.071689573207246
0.007583682478734,0.040986378930452,0.01223113964687,0.980610181424419,0.007171910830943,0.040507760531481,0.008359497645212,0.001820610100372,0.009391783954767,-0.030050442149504
0.00605012444109,0.094555677856915,0.00991974317817,0.900295964966319,0.0072327189441,0.260387506288256,0.008427705299626,0.182683382669619,0.009863076934381,0.121846630883233
0.005028338941166,0.114184720237269,0.008619582664526,0.853033401760484,0.007515537820481,0.372161070375074,0.008756563633411,0.24279565551637,0.010346482091751,0.888210938561976
0.004881942258552,0.128707083464487,0.007584269662921,0.810454240219477,0.007726288832133,0.469109151718185,0.008829643263141,0.854550898214913,0.010569893972292,0.912858964043895
0.004929861365,0.147992031078013,0.007054574638844,0.793936066210443,0.007794028583344,0.584477005310512,0.008817463324852,0.828060359558206,0.010576750136851,0.168855775130147
0.005001828003449,0.17450687896271,0.006645264847512,0.774995838889452,0.007896027270418,0.82948945978401,0.008927082769447,0.748543370127639,0.010641610364705,0.839290723861378
0.005217376003691,0.263701716759175,0.006428571428571,0.727388907914145,0.007792572159071,0.765290955647198,0.008939262707736,0.720840981964869,0.010800385729454,0.335801592462491
0.005237200554462,0.386735146738822,0.00623595505618,0.613028197980857,0.007825519221966,0.713074029211639,0.008975802522601,0.803925459722956,0.010834086934638,0.28180197506916
0.00535444693609,0.504912148304844,0.006091492776886,0.49626839258691,0.008337767190286,0.862096904566963,0.008975802522601,0.690722457033381,0.010849020731613,0.395341540744986
0.005496004786045,0.623081329535257,0.005971107544141,0.377117144349403,0.009071666309535,0.879528011220881,0.00899772641152,0.873044742580289,0.010929182050971,0.781482550984044
0.005810118341229,0.676056282955383,0.005802568218299,0.262748781799015,0.009341574192939,-0.001491201663687,0.009004222378607,0.774612313714374,0.011003910827979,0.731703607366831
0.005978275107676,0.73149073192476,0.005465489566613,0.148433987568323,0.009415783970792,-0.061730645472716,0.009006252368321,0.354716857948362,0.010999657044818,0.448860624630317
0.006803369391597,0.772238590619116,0.005441412520064,0.119836157467901,0.009721485759558,0.898081852222635,0.009115871812916,0.581088833232178,0.011057495967935,0.926329846836619
0.007725357633723,0.822605462113406,0.005561797752809,0.088808621438424,0.011381450139895,0.934771898168499,0.00919504141179,0.471474115039493,0.011127441374319,0.674692662926673
0.009958845483854,0.908738638518672,0.00669341894061,0.066994836396612,0.012365939824788,-0.267453133375734,0.009393980403833,-0.017126842832068,0.011171271854897,0.56100560998997
0.011778950393656,0.997417334164896,0.007776886035313,0.045196356588999,0.01272611147463,0.973222238542508,0.009523899745575,0.894076853945414,0.011169905177576,0.503331827049189
0.013550608324356,1.08128652341115,0.008667736757624,-0.00991396545226,0.006877807105622,0.146300182180028,0.011034212093325,0.923715176420522,0.011270640685102,0.621036911309255
,,,,0.006655072481196,0.119644578590941,0.012727223515401,0.956909643858037,0.011773976553401,0.936810553541054
,,,,0.006506382313506,0.085653673563053,0.007205651491366,0.023374264185839,0.012827001429133,0.941126976079473
,,,,0.010951334483733,-0.169550682724163,0.007676609105181,0.05116752530689,0.014856385839347,0.993328574266732
,,,,,,0.007464678178964,0.079172781318133,0.01035324200108,0.906812445580893
,,,,,,,,0.010739989639704,0.227562795516417
,,,,,,,,0.008792529565419,0.044747660667247
,,,,,,,,0.008531483175541,0.02859000782533
,,,,,,,,0.008815509583274,0.014504414147315
,,,,,,,,0.008388698460284,0.003075023971961
,,,,,,,,0.008483153497702,-0.010922396975675
