0.1-4.5-3,,,,,,0.1-4.5-3,,,,,,0.14-4.5-0,,,,,,,,,,,,0.1-4.5-0,,,,,,0.1-4.5-0,,,,,
a,,,,,,AOA,,,,,,a,,,,,,AOA,,,,,,a,,,,,,AOA,,,,,
AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,,AC,,U2DiVA,,Cactus,
297.46102,0.63900,218.88641,0.46507,276.61470,0.61471,216.80000,-2.32845,184.80000,0.06452,218.40000,-1.69501,249.68474,0.75070,200.52611,0.48078,250.48608,0.73482,186.80709,-4.81939,154.57302,3.07897,232.95724,-3.51857,342.00000,0.13775,288.81818,0.57378,336.27273,0.32882,262.85714,-3.48047,202.44898,-3.34881,223.67347,-4.09907
309.48775,0.56712,222.89532,0.52275,295.05568,0.59574,226.40000,-2.11730,187.20000,1.26100,232.80000,-1.48387,267.93411,0.81950,206.05139,0.57075,263.20353,0.72953,191.55530,-5.27256,160.87510,1.82111,252.83354,-3.32023,351.00000,-0.01412,292.90909,0.54928,348.54545,0.21124,297.14286,-3.68919,215.51020,-4.49591,261.22449,-3.94786
318.30735,0.49521,239.73274,0.57580,311.09131,0.53353,247.20000,-1.27273,200.00000,-1.27273,263.20000,-1.20235,280.64934,0.81950,214.77319,0.61838,275.12184,0.73482,199.49783,-5.37423,167.94080,-0.14077,264.74734,-3.47273,360.81818,-0.07781,297.00000,0.54438,360.81818,0.15490,317.55102,-4.11626,220.40816,-3.92008,298.77551,-4.04815
327.92873,0.38969,271.00223,0.60023,324.72160,0.47128,265.60000,-0.70968,202.40000,-0.92082,276.80000,-1.13196,290.20126,0.78245,219.52591,0.65543,295.80845,0.67660,209.03863,-5.27501,172.64683,-1.54925,278.25941,-3.42434,,,306.81818,0.52968,,,325.71429,-4.33020,231.02041,-4.49281,315.91837,-3.90101
342.36080,0.17378,288.64143,0.58125,338.35189,0.37542,279.20000,-0.49853,204.80000,-0.70968,312.00000,-1.06158,307.74447,0.63955,228.26763,0.65543,311.73569,0.59721,228.95711,-4.12136,177.34176,-3.20913,311.61671,-3.88151,,,310.90909,0.45130,,,340.40816,-3.96798,238.36735,-4.31170,336.32653,-3.42987
349.57684,0.04901,309.48775,0.52390,350.37862,0.26513,291.20000,-0.63930,216.80000,-1.97654,336.80000,-0.49853,322.11773,0.47549,233.01371,0.70836,322.88365,0.54429,257.63502,-2.56671,180.56938,-2.10343,324.33852,-3.73245,,,312.54545,0.48069,,,352.65306,-2.81584,257.95918,-4.41558,347.75510,-2.88867
359.19822,-0.02289,312.69488,0.49993,360.00000,0.19802,304.00000,-0.92082,220.00000,-1.20235,348.00000,0.06452,330.12230,0.33788,250.49272,0.71894,336.43343,0.44903,265.59309,-2.31642,191.57971,-4.71949,336.25232,-3.88495,,,321.54545,0.46110,,,359.18367,-1.80855,273.46939,-4.48434,359.18367,-1.52112
,,323.91982,0.48087,,,316.00000,-1.27273,228.80000,-1.76540,360.00000,1.33138,342.12695,0.13677,279.11085,0.69777,359.57719,0.21616,278.30825,-2.31820,194.83842,-2.90989,347.38696,-3.68539,,,325.63636,0.40231,,,,,289.79592,-4.26551,,
,,326.32517,0.41368,,,328.80000,-1.41349,235.20000,-1.76540,,,349.34125,-0.01142,284.66934,0.70836,,,287.83573,-2.52065,202.72101,-4.36910,359.34959,-2.73175,,,333.00000,0.38761,,,,,292.24490,-4.48059,,
,,335.94655,0.40900,,,341.60000,-1.13196,237.60000,-1.34311,,,356.52899,-0.09610,287.06672,0.67660,,,298.14682,-2.97460,206.71891,-3.81658,,,,,338.72727,0.28473,,,,,307.34694,-3.97458,,
,,341.55902,0.32264,,,349.60000,-0.63930,244.80000,-1.69501,,,359.72329,-0.13315,302.18377,0.63426,,,318.75345,-4.23446,212.27070,-4.06875,,,,,346.90909,0.32392,,,,,308.57143,-4.76476,,
,,350.37862,0.32756,,,357.60000,0.41642,284.80000,-1.69501,,,,,309.32945,0.65014,,,329.06453,-4.68842,217.05886,-3.61691,,,,,351.00000,0.17205,,,,,319.18367,-3.90036,,
,,352.78396,0.21233,,,360.00000,0.90909,289.60000,-1.55425,,,,,311.74454,0.57604,,,335.41323,-4.89042,226.57968,-3.97019,,,,,360.81818,0.20144,,,,,323.26531,-4.33069,,
,,360.80178,0.22685,,,,,296.80000,-1.76540,,,,,318.09773,0.58663,,,344.95403,-4.79119,230.56427,-3.71935,,,,,,,,,,,333.06122,-3.46645,,
,,,,,,,,308.00000,-1.41349,,,,,321.30975,0.50724,,,351.32715,-4.44013,241.67893,-3.97230,,,,,,,,,,,336.32653,-3.89694,,
,,,,,,,,312.00000,-1.69501,,,,,328.45321,0.52841,,,357.72246,-3.58627,247.25069,-3.77196,,,,,,,,,,,346.12245,-2.52972,,
,,,,,,,,322.40000,-0.99120,,,,,332.43557,0.50724,,,360.12653,-3.13410,279.02969,-3.97752,,,,,,,,,,,353.46939,-2.81567,,
,,,,,,,,324.80000,-3.10264,,,,,334.84624,0.44373,,,,,284.59923,-3.82746,,,,,,,,,,,360.00000,-1.73653,,
,,,,,,,,327.20000,-1.41349,,,,,339.61446,0.44373,,,,,286.97000,-4.12947,,,,,,,,,,,,,,
,,,,,,,,328.80000,-1.20235,,,,,341.17951,0.50195,,,,,295.71833,-3.97985,,,,,,,,,,,,,,
,,,,,,,,334.40000,-0.56891,,,,,344.42694,0.33788,,,,,302.06481,-4.23213,,,,,,,,,,,,,,
,,,,,,,,339.20000,-0.99120,,,,,351.57040,0.35905,,,,,309.23262,-3.88118,,,,,,,,,,,,,,
,,,,,,,,347.20000,0.06452,,,,,358.78692,0.20557,,,,,312.38033,-4.58553,,,,,,,,,,,,,,
,,,,,,,,350.40000,-0.35777,,,,,,,,,,,319.57034,-3.73178,,,,,,,,,,,,,,
,,,,,,,,359.20000,0.83871,,,,,,,,,,,323.51497,-4.38597,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,329.11115,-3.63256,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,333.85047,-4.28685,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,342.64319,-3.13165,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,344.19041,-4.08718,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,352.18844,-2.93187,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,359.32295,-3.33510,,,,,,,,,,,,,,
