Clean,,.5%1c,,1%1c,,2%1c,,2%.95c,,2%.9c,,1% 1c UP,
0.01357201171875,-0.38625,0.01363509765625,-0.34875,0.0135579296875,-0.2875,0.015888046875,-0.16,0.019667503136763,-0.250852081755768,0.022694479297365,1.32661612162296,0.014890871998998,-0.502314814814815
0.01107328125,-0.305,0.011137109375,-0.22,0.0119820703125,-0.1425,0.0173280078125,-0.0025,0.018632371392723,-0.133013701002347,0.02056148055207,1.24735559477274,0.013659471664161,-0.412037037037037
0.00965302734375,-0.20125,0.0100140625,-0.095,0.0113277734375,-0.0175,0.0170491015625,0.1475,0.018350062735257,-0.021373280290424,0.019573400250941,1.1481347084188,0.012735218498018,-0.298611111111111
0.0085139453125,-0.1025,0.0087970703125,0.0175,0.01034572265625,0.13125,0.01687935546875,0.28375,0.018240276035132,0.089029752412198,0.019369510664994,1.05024724145911,0.012087611327502,-0.178240740740741
0.00662478515625,-0.00875,0.00751794921875,0.15375,0.0100353515625,0.2675,0.0166003515625,0.4275,0.018506900878294,0.227074081129204,0.018114805520703,0.932179015095819,0.011962510250103,-0.041666666666667
0.0057033984375,0.0225,0.0075667578125,0.2775,0.01000607421875,0.39375,0.0166180078125,0.5575,0.01883626097867,0.353832360687585,0.018083437892095,0.815488288106749,0.012083126907658,0.113425925925926
0.0054381640625,0.0475,0.0070530078125,0.3975,0.00963271484375,0.49875,0.0163854296875,0.6725,0.019040150564617,0.471795109955936,0.01814617314931,0.702571122260547,0.012327029520295,0.25
0.0053446484375,0.0625,0.0071171875,0.505,0.009962734375,0.62,0.01635591796875,0.78375,0.018506900878294,0.575882111242127,0.017832496863237,0.585852058141494,0.012570896542299,0.388888888888889
0.005235859375,0.1,0.00732212890625,0.62125,0.01024578125,0.735,0.01635771484375,0.89875,0.018381430363865,0.688792979948332,0.017158092848181,0.362446848202718,0.012999514543757,0.511574074074074
0.005315625,0.205,0.00729263671875,0.73375,0.01020056640625,0.84125,0.01595322265625,1.01125,0.018648055207026,0.802997910923806,0.015683814303639,0.093791964534508,0.013551204956494,0.62962962962963
0.0053327734375,0.3025,0.0074028125,0.785,0.012795703125,0.93,0.0172984375,1.105,0.018648055207026,0.925959015064333,0.016703262233375,-0.163320261520224,0.01441046962553,0.743055555555555
0.00541271484375,0.41875,0.00921607421875,0.83375,0.0144223046875,1.0325,0.01879994140625,1.20125,0.020341907151819,1.03403368025327,,,0.0152698766571,0.847222222222222
0.005570625,0.525,0.01168611328125,0.91625,0.016564296875,1.12,0.020598203125,1.29,0.02125156838143,1.13073728489363,,,0.01699061261446,0.930555555555556
0.00571283203125,0.62625,0.01426529296875,0.98375,0.0187216015625,1.1875,0.02247435546875,1.36375,0.022490589711418,1.21618160322036,,,0.019111422885062,0.993055555555556
0.00641662109375,0.66875,0.01598501953125,1.04625,0.0211442578125,1.2375,,,0.023808030112924,1.27904910037484,,,0.022370350439616,1.03240740740741
0.007635625,0.685,0.017704375,1.085,0.0247541796875,1.2725,,,,,,,,
0.00947978515625,0.71125,0.0198928125,1.145,,,,,,,,,,
0.01088765625,0.815,0.0250183984375,1.1825,,,,,,,,,,
0.01206025390625,0.86125,,,,,,,,,,,,
0.01451451171875,0.93375,,,,,,,,,,,,
0.0172340625,0.985,,,,,,,,,,,,
0.02100041015625,1.03125,,,,,,,,,,,,
0.024407421875,1.08,,,,,,,,,,,,
