Clean,,1c,,.9c,
0.998635743519782,-0.180371352785146,1,0.408488063660478,0.999317871759891,0.225464190981433
0.979536152796726,-0.185676392572944,0.979536152796726,0.180371352785146,0.978171896316507,0.111405835543767
0.949522510231924,-0.153846153846154,0.949522510231924,0.106100795755968,0.948840381991814,0.055702917771884
0.899045020463847,-0.095490716180371,0.899045020463847,0.090185676392573,0.899727148703956,0.053050397877985
0.849931787175989,0,0.849931787175989,0.196286472148541,0.84924965893588,0.161803713527852
0.798090040927694,0.13262599469496,0.798090040927694,0.297082228116711,0.798772169167804,0.26790450928382
0.748976807639836,0.254641909814324,0.748976807639836,0.429708222811671,0.748976807639836,0.360742705570292
0.699863574351978,0.376657824933687,0.701227830832196,0.583554376657825,0.699863574351978,0.578249336870027
0.65075034106412,0.477453580901857,0.649386084583902,0.620689655172414,0.649386084583902,0.612732095490717
0.600272851296044,0.557029177718833,0.600272851296044,0.657824933687003,0.600272851296044,0.657824933687003
0.547066848567531,0.636604774535809,0.549795361527967,0.705570291777189,0.549795361527967,0.70026525198939
0.499317871759891,0.684350132625995,0.499317871759891,0.726790450928382,0.499317871759891,0.732095490716181
0.450204638472033,0.716180371352785,0.449522510231924,0.737400530503979,0.447476125511596,0.737400530503979
0.399727148703956,0.742705570291778,0.399727148703956,0.737400530503979,0.399727148703956,0.726790450928382
0.350613915416098,0.76923076923077,0.350613915416098,0.716180371352785,0.347885402455662,0.716180371352785
0.300136425648022,0.790450928381963,0.300136425648022,0.694960212201592,0.300136425648022,0.721485411140584
0.251023192360164,0.822281167108753,0.248294679399727,0.689655172413793,0.249658935879945,0.721485411140584
0.196452933151432,0.870026525198939,0.199181446111869,0.684350132625995,0.19849931787176,0.726790450928382
0.148703956343793,0.944297082228117,0.149386084583902,0.694960212201592,0.149386084583902,0.748010610079576
0.120054570259209,1.0132625994695,0.1193724420191,0.708222811671088,0.1193724420191,0.774535809018568
0.090040927694407,1.08753315649867,0.090040927694407,0.721485411140584,0.090040927694407,0.795755968169762
0.075034106412006,1.12997347480106,0.074351978171896,0.713527851458886,0.074351978171896,0.803713527851459
0.060027285129604,1.17771883289125,0.060027285129604,0.694960212201592,0.060027285129604,0.80106100795756
0.049113233287858,1.21485411140584,0.049795361527967,0.681697612732096,0.049795361527967,0.795755968169761
0.03956343792633,1.342175066313,0.038199181446112,0.694960212201592,0.040245566166439,0.840848806366048
0.030013642564802,1.37400530503979,0.030013642564802,0.641909814323608,0.029331514324693,0.793103448275862
0.020463847203274,1.37931034482759,0.025238744884038,0.586206896551724,0.024556616643929,0.748010610079576
0.013642564802183,1.3368700265252,0.019099590723056,0.514588859416446,0.019781718963165,0.692307692307692
0.009549795361528,1.29973474801061,0.013642564802183,0.371352785145889,0.013642564802183,0.56763925729443
0.004092769440655,1.16710875331565,0.009549795361528,0.228116710875331,0.008867667121419,0.442970822281167
0.001364256480218,0.928381962864722,0.004092769440655,-0.087533156498673,0.003410641200546,0.143236074270557
0,0.541114058355438,0.001364256480218,-0.429708222811671,0.002046384720327,-0.193633952254642
0.001364256480218,-0.249336870026525,1.39E-17,-0.885941644562334,-0.000682128240109,-0.694960212201591
0.004092769440655,-1.03978779840849,0.00818553888131,-0.575596816976127,0.003410641200546,-0.896551724137931
0.009549795361528,-0.96551724137931,0.012960436562074,-0.472148541114058,0.00818553888131,-0.694960212201591
0.012278308321965,-0.880636604774536,0.018417462482947,-0.395225464190981,0.012278308321965,-0.580901856763926
0.019099590723056,-0.795755968169761,0.024556616643929,-0.328912466843501,0.017735334242838,-0.498673740053051
0.023192360163711,-0.716180371352785,0.029331514324693,-0.289124668435013,0.022510231923602,-0.427055702917772
0.028649386084584,-0.663129973474801,0.038881309686221,-0.23342175066313,0.030013642564802,-0.376657824933686
0.03956343792633,-0.551724137931034,0.049113233287858,-0.20159151193634,0.03956343792633,-0.312997347480106
0.04774897680764,-0.498673740053051,0.058663028649386,-0.169761273209549,0.049113233287858,-0.275862068965517
0.058663028649386,-0.440318302387268,0.072987721691678,-0.140583554376658,0.057980900409277,-0.244031830238727
0.073669849931787,-0.387267904509283,0.088676671214188,-0.124668435013262,0.072305593451569,-0.20159151193634
0.08731241473397,-0.344827586206896,0.118008185538881,-0.095490716180371,0.08731241473397,-0.180371352785146
0.11869031377899,-0.286472148541114,0.147339699863574,-0.074270557029178,0.118008185538881,-0.148541114058355
0.148703956343793,-0.23342175066313,0.197817189631651,-0.058355437665783,0.147339699863574,-0.122015915119363
0.197817189631651,-0.185676392572944,0.246930422919509,-0.047745358090186,0.19849931787176,-0.095490716180371
0.248294679399727,-0.148541114058355,0.297407912687585,-0.042440318302387,0.247612551159618,-0.079575596816976
0.297407912687585,-0.116710875331564,0.34924965893588,-0.042440318302387,0.298090040927694,-0.071618037135278
0.347885402455662,-0.095490716180371,0.398362892223738,-0.042440318302387,0.348567530695771,-0.061007957559682
0.398362892223738,-0.079575596816976,0.448840381991815,-0.047745358090186,0.398362892223738,-0.061007957559682
0.450204638472033,-0.063660477453581,0.497953615279673,-0.058355437665783,0.448840381991815,-0.061007957559681
0.499317871759891,-0.047745358090186,0.547066848567531,-0.058355437665783,0.498635743519782,-0.071618037135278
0.549795361527967,-0.037135278514589,0.598908594815825,-0.074270557029178,0.548431105047749,-0.076923076923077
0.597544338335607,-0.026525198938992,0.648703956343793,-0.087533156498673,0.598226466575716,-0.092838196286472
0.646657571623465,-0.021220159151193,0.697817189631651,-0.106100795755968,0.648021828103683,-0.111405835543766
0.697135061391542,-0.015915119363395,0.7462482946794,-0.127320954907161,0.697817189631651,-0.137931034482758
0.7462482946794,-0.021220159151193,0.798090040927694,-0.143236074270557,0.7462482946794,-0.156498673740053
0.796725784447476,-0.03183023872679,0.848567530695771,-0.26525198938992,0.797407912687585,-0.297082228116711
0.847203274215553,-0.053050397877984,0.896316507503411,-0.371352785145888,0.847203274215553,-0.480106100795756
0.897680763983629,-0.084880636604774,0.945429740791269,-0.535809018567639,0.89699863574352,-0.628647214854111
0.946793997271487,-0.090185676392573,0.976807639836289,-0.610079575596817,0.946793997271487,0.251989389920425
0.976807639836289,-0.13262599469496,,,0.976807639836289,0.283819628647215
0.998635743519782,-0.180371352785146,,,1,0.222811671087533
