WT,,MSES,,OVERFLOW,
AOA,CL,AOA,CL,AOA,CL
20.0683470462752,1.24145299145299,16.3684645857816,2.04273504273504,19.1000609464102,1.25480769230769
18.9968873797391,1.28685897435897,15.9606677985281,2.05074786324786,17.7934134343297,2.07211538461538
18.1304688520303,1.30021367521367,15.0463628052757,1.98931623931624,16.8745374602755,2.12286324786325
17.0086195637973,1.33226495726496,14.1829915981015,1.92788461538462,15.6032606329715,2.07211538461538
16.079513299377,1.6340811965812,13.1169735753772,1.83974358974359,13.3175525662788,1.91720085470085
15.7130730050929,1.87713675213675,11.7465499978229,1.72222222222222,9.61451395237434,1.54594017094017
15.1531278568625,1.86912393162393,10.9858081929385,1.64209401709402,6.6734143049929,1.22542735042735
14.0856950067472,1.81570512820513,9.20987331853168,1.47649572649573,3.58027512951082,0.886217948717949
13.1208915589217,1.74358974358974,7.89103652431291,1.34294871794872,1.55206564799067,0.661858974358974
12.1061338209042,1.6474358974359,6.87704061642906,1.22809829059829,0.338143746462677,0.453525641025641
11.1925906577855,1.56730769230769,5.45677158155904,1.08386752136752,-0.77761090070112,0.336004273504273
10.0250315615337,1.47115384615385,2.66782029515447,0.779380341880342,-2.95829524182685,0.103632478632479
9.16340168037924,1.36698717948718,1.09638239519368,0.59508547008547,-4.27452004701599,-0.094017094017094
8.04655870445308,1.27617521367521,-1.1847546906972,0.327991452991453,-5.84617561272925,-0.272970085470086
7.03223629794053,1.16933760683761,-2.85784249706172,0.138354700854701,,
6.01780505855174,1.06517094017094,-4.3264333289802,-0.069978632478633,,
5.15617517739726,0.961004273504273,-6.05056375429906,-0.256944444444445,,
3.98926907840289,0.848824786324786,,,,
3.02609812372092,0.736645299145299,,,,
2.21409603412971,0.664529914529914,,,,
2.0112315528272,0.643162393162393,,,,
1.85930085760279,0.621794871794872,,,,
1.60615558747959,0.584401709401709,,,,
0.94597536023656,0.536324786324786,,,,
-0.016433764311771,0.405448717948718,,,,
-1.03086500370055,0.301282051282052,,,,
-2.14661965086434,0.183760683760684,,,,
-2.55180444908819,0.12767094017094,,,,
-3.00770536763766,0.066239316239317,,,,
-3.31200208959142,0.034188034188034,,,,
-3.51454007226522,0.004807692307692,,,,
-3.71675155631032,-0.03258547008547,,,,
-4.07230856297088,-0.056623931623932,,,,
-5.13680292542788,-0.18215811965812,,,,
-6.04893126115552,-0.297008547008547,,,,
-7.06238300465819,-0.425213675213675,,,,
-8.1735666710201,-0.65491452991453,,,,
-9.19267772408699,-0.644230769230769,,,,
-9.60101867572166,-0.622863247863247,,,,
-10.2133124374212,-0.596153846153846,,,,
-11.0804927952637,-0.564102564102564,,,,
-12.2536023682034,-0.524038461538462,,,,
-13.0705019372253,-0.475961538461538,,,,
-14.1426146010187,-0.414529914529914,,,,
